Name,Manufacturer,Availability,Quantity,Price,Images_link
Healthvit Activated Charcoal Instant Teeth Whitening Powder - 20g,Healthvit,TRUE,20,300,['https://cdn01.pharmeasy.in/dam/products_otc/L80998/healthvit-activated-charcoal-instant-teeth-whitening-powder-20g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Healthvit Activated Charcoal Teeth Whitening Toothpaste - Mint Flavour - 100g,Healthvit,TRUE,20,200,['https://cdn01.pharmeasy.in/dam/products_otc/R09577/healthvit-activated-charcoal-teeth-whitening-toothpaste-mint-flavour-100g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Healthvit Biotin Hair Growth Shampoo - 200ml,Healthvit,TRUE,20,650,['https://cdn01.pharmeasy.in/dam/products_otc/V90688/healthvit-biotin-hair-growth-shampoo-200ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Healthvit E-vit Vitamin E Skin Oil For Skin Tone Lightening, 60ml (pack Of 3)",Healthvit,TRUE,20,300,['https://cdn01.pharmeasy.in/dam/products_otc/G63150/healthvit-e-vit-vitamin-e-skin-oil-for-skin-tone-lightening-60ml-pack-of-3-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Healthvit E-vitan Vitamin E Hair Oil (strengthen & Soft Hair) - 100ml,Healthvit,TRUE,20,200,['https://cdn01.pharmeasy.in/dam/products_otc/L18921/healthvit-e-vitan-vitamin-e-hair-oil-strengthen-soft-hair-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Healthvit Femyvit Women Multivitamins - 60 Tablets,Healthvit,TRUE,20,300,['https://cdn01.pharmeasy.in/dam/products_otc/G28496/healthvit-femyvit-women-multivitamins-60-tablets-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Healthvit Haironic-man Hair Growth Formula - 60 Tablets,Healthvit,TRUE,20,500,['https://cdn01.pharmeasy.in/dam/products_otc/M32053/healthvit-haironic-man-hair-growth-formula-60-tablets-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Herboglo Herbal Capsules For Acne/pimples & Radiant Glowing Skin Care (60),Essentium Phygen,TRUE,20,675,['https://cdn01.pharmeasy.in/dam/products_otc/I39525/herboglo-herbal-capsules-for-acne-pimples-radiant-glowing-skin-care-60-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Highgrow For Hair Growth Tablets - 10 Tablets (pack Of 3),West Coast,TRUE,20,570,['https://cdn01.pharmeasy.in/dam/products_otc/F76768/highgrow-for-hair-growth-tablets-10-tablets-pack-of-3-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hima Ashvagandha Tab 60's,HIMA ASHVAGANDHA,TRUE,20,150,['https://cdn01.pharmeasy.in/dam/products_otc/192968/hima-ashvagandha-tab-60s-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Garnier Men Acno Fight Anti-pimple Facewash - 100gm,Garnier,TRUE,20,180,['https://cdn01.pharmeasy.in/dam/products_otc/H90413/garnier-men-acno-fight-anti-pimple-facewash-100gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Garnier Men Power White Anti-pollution Double Action Facewash - 100gm,Garnier,TRUE,20,180,['https://cdn01.pharmeasy.in/dam/products_otc/T53487/garnier-men-power-white-anti-pollution-double-action-facewash-100gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
